,spam,text,crowd,spanish,language,english
19,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
",0,"Inglaterra v Macedonia - No se pierda las metas/noticias del equipo. TXT UR Equipo nacional a 87077 EG Inglaterra a 87077 Try: Wales, Scotland 4txt/Ú1.20 POBOXOX36504W45WQ 16+
",en,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
"
20,0,"Is that seriously how you spell his name?
",0,"¿Es eso en serio cómo se deletrea su nombre?
",en,"Is that seriously how you spell his name?
"
21,0,"I‘m going to try for 2 months ha ha only joking
",0,"Voy a intentar por 2 meses ja ja ja solo bromeando
",en,"I‘m going to try for 2 months ha ha only joking
"
22,0,"So ü pay first lar... Then when is da stock comin...
",0,"Entonces ü Page First Lar ... Entonces, ¿cuándo viene las acciones ...
",en,"So ü pay first lar... Then when is da stock comin...
"
23,0,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",0,"A popa termino mi almuerzo y luego me voy a bajar. ARD 3 SMTH LOR. ¿Ya terminaste tu almuerzo?
",en,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
"
24,0,"Ffffffffff. Alright no way I can meet up with you sooner?
",0,"Fffffffff. Bien de ninguna manera puedo reunirme contigo antes?
",en,"Ffffffffff. Alright no way I can meet up with you sooner?
"
25,0,"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
",0,"Solo me obligé a comer una porción. Realmente no tengo hambre. Esto apesta. Mark se está preocupando. Él sabe que estoy enfermo cuando rechace la pizza. Jajaja
",en,"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
"
26,0,"Lol your always so convincing.
",0,"Jajaja siempre eres tan convincente.
",en,"Lol your always so convincing.
"
27,0,"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
",0,"¿Cogiste el autobús? ¿Estás friendo un huevo? ¿Hiciste un té? ¿Estás comiendo la sobrante cena de tu madre? Sientes mi amor ?
",en,"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
"
28,0,"I'm back &amp; we're packing the car now, I'll let you know if there's room
",0,"Estoy de vuelta y amp; Estamos empacando el auto ahora, te haré saber si hay espacio
",en,"I'm back &amp; we're packing the car now, I'll let you know if there's room
"
29,0,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
",0,"Ahhh. Trabajar. ¡Recuerdo vagamente eso! ¿Cómo se siente? Jajaja
",en,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
"
30,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
",0,"Espera, eso todavía no está tan claro, ¿no estaba seguro de que yo fuera sarcástico o por eso X no quiere vivir con nosotros?
",en,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
"
31,0,"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
",0,"Sí, entró a las 2 y se disculpó. N se había caído y ella activa como un niño malcriado y él quedó atrapado en eso. ¡Hasta las 2! ¡Pero no iremos allí! No hacer malos vítores. ¿Tú?
",en,"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
"
32,0,"K tell me anything about you.
",0,"K dime algo sobre ti.
",en,"K tell me anything about you.
"
33,0,"For fear of fainting with the of all that housework you just did? Quick have a cuppa
",0,"¿Por miedo a desmayarse con todas esas tareas domésticas que acabas de hacer? Rápido tener una taza
",en,"For fear of fainting with the of all that housework you just did? Quick have a cuppa
"
34,1,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
",0,"Gracias por su suscripción a Ringtone UK a su móvil se le cobrará £ 5/mes, confirme respondiendo sí o no. Si responde no, no se le cobrará
",en,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
"
35,0,"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
",0,"Sí ... Ok, voy a casa Mira los tiempos y luego estoy enviando ü de nuevo ... Xuhui aprenderé en el 2 de mayo también, pero su lección es a las 8 a.m.
",en,"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
"
36,0,"Oops, I'll let you know when my roommate's done
",0,"Ups, te haré saber cuando haya terminado mi compañero de cuarto
",en,"Oops, I'll let you know when my roommate's done
"
37,0,"I see the letter B on my car
",0,"Veo la letra B en mi coche
",en,"I see the letter B on my car
"
38,0,"Anything lor... U decide...
",0,"Cualquier cosa para ... tú decides ...
",en,"Anything lor... U decide...
"
39,0,"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
",0,"¡Hola! ¿Cómo estás y cómo fue el sábado? Estaba enviando mensajes de texto para ver si había decidido hacer algo Tomo. ¡No es que esté tratando de invitarme a mí mismo ni a cualquier cosa!
",en,"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
"
40,0,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
",0,"Por favor, continúe con Watts. Tan sólo quería asegurarme. Que tengas un gran fin de semana. Abiola
",en,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
"
41,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
",0,"¿Olvidé decirte? Te quiero, te necesito, te anhelo ... pero sobre todo ... te amo mi dulce corcel árabe ... mmmmmm ... delicioso
",en,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
"
42,1,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
",0,"07732584351 - Rodger Burns - Msg = Intentamos llamarlo con su respuesta a nuestro SMS para una videocámara gratuita de Nokia Mobile + GRATIS. Llame ahora 08000930705 para la entrega mañana
",en,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
"
43,0,"WHO ARE YOU SEEING?
",0,"¿A QUIÉN ESTAS VIENDO?
",en,"WHO ARE YOU SEEING?
"
44,0,"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
",0,"¡Excelente! Espero que te guste tu hombre bien dotado. Soy & lt;#& gt; pulgadas...
",en,"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
"
45,0,"No calls..messages..missed calls
",0,"Sin llamadas ... Messages ... llamadas libres
",en,"No calls..messages..missed calls
"
46,0,"Didn't you get hep b immunisation in nigeria.
",0,"¿No obtuviste inmunización Hep B en Nigeria?
",en,"Didn't you get hep b immunisation in nigeria.
"
47,0,"Fair enough, anything going on?
",0,"Justo, ¿algo que está pasando?
",en,"Fair enough, anything going on?
"
48,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit
",0,"Sí, con suerte, si Tyler no puede hacerlo, tal vez podría preguntar un poco
",en,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit
"
49,0,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
",0,"No sabes lo terco que soy. Ni siquiera quería ir al hospital. Seguí diciéndole a Mark que no soy un tonto débil. Los hospitales son para retoños débiles.
",en,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
"
50,0,"What you thinked about me. First time you saw me in class.
",0,"Lo que pensaste de mí. La primera vez que me viste en clase.
",en,"What you thinked about me. First time you saw me in class.
"
51,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
",0,"Un gramo generalmente corre como & lt;#& gt; Sin embargo, una media octava es más inteligente y te consigue casi un segundo gramo para & lt;#& gt;
",en,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
"
52,0,"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
",0,"K FYI X tiene un viaje temprano mañana por la mañana, pero se estrella en nuestro lugar esta noche
",en,"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
"
53,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
",0,"Guau. Nunca me di cuenta de que estabas tan avergonzado por tus alojamientos. Pensé que te gustaba, ya que estaba haciendo lo mejor que pude y siempre parecías muy feliz con ""la cueva"". Lamento no haberlo hecho y no tengo más que dar. Lamento haber ofrecido. Lamento que tu habitación fuera tan avergonzante.
",en,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
"
54,1,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
",0,"SMS. AC SPTV: Los New Jersey Devils y los Detroit Red Wings juegan hockey sobre hielo. ¿Correcto o incorrecto? ¿Final? Respuesta Fin SPTV
",en,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
"
55,0,"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
",0,"¿Sabes lo que hizo Mallika Sherawat ayer? Descúbrelo ahora @ & lt; url & gt;
",en,"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
"
56,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
",0,"¡Felicitaciones! 1 año Special Cinema Pass para 2 es tuyo. ¡Llame al 09061209465 ahora! C Suprman V, Matrix3, Starwars3, etc. ¡Todos 4 gratis! BX420-IP4-5WE. 150pm. ¡No te pierdas!
",en,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
"
57,0,"Sorry, I'll call later in meeting.
",0,"Lo siento, llamaré más tarde en la reunión.
",en,"Sorry, I'll call later in meeting.
"
58,0,"Tell where you reached
",0,"Dile a donde llegaste
",en,"Tell where you reached
"
59,0,"Yes..gauti and sehwag out of odi series.
",0,"Sí ... Gauti y Sehwag fuera de la serie ODI.
",en,"Yes..gauti and sehwag out of odi series.
"
60,0,"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
",0,"Tendrás que recoger una hamburguesa de $ 1 por ti mismo en tu camino a casa. Ni siquiera puedo moverme. El dolor me está matando.
",en,"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
"
61,0,"Ha ha ha good joke. Girls are situation seekers.
",0,"Ja, ja, ja, buena broma. Las niñas son buscadoras de situación.
",en,"Ha ha ha good joke. Girls are situation seekers.
"
62,0,"Its a part of checking IQ
",0,"Es parte de la comprobación de IQ
",en,"Its a part of checking IQ
"
63,0,"Sorry my roommates took forever, it ok if I come by now?
",0,"Lo siento, mis compañeros de cuarto tomaron una eternidad, ¿está bien si vengo por ahora?
",en,"Sorry my roommates took forever, it ok if I come by now?
"
64,0,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
",0,"Ok Lar I Double Check Wif Da Tocer ya dijo Wun Cut V corto. Dijo que cortará hasta que me vea bien.
",en,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
"
65,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589
",0,"Como cliente valioso, me complace informarle que después de la reciente revisión de su mafia No. se le otorga un premio de bonificación de £ 1500, llame al 09066364589
",en,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589
"
66,0,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
",0,"Hoy es ""Song Dedicated Day .."" ¿Qué canción dedicarás a mí? Envía esto a todos tus valiosos amigos, pero primero me plantea ...
",en,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
"
67,1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
",0,"Urgente Ur otorgó un viaje de cortesía a Eurodisinc Trav, ACO & Entry41 o £ 1000. Para reclamar txt dis a 87121 18+6*£ 1.50 (Morefrmmob. Shracomorsglsuplt) 10, LS1 3AJ
",en,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
"
68,1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!
",0,"¿Escuchaste sobre el nuevo ""Divorce Barbie""? ¡Viene con todas las cosas de Ken!
",en,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!
"
69,0,"I plane to give on this month end.
",0,"Me avenzo para dar el final de este mes.
",en,"I plane to give on this month end.
"
70,0,"Wah lucky man... Then can save money... Hee...
",0,"Wah hombre afortunado ... luego puede ahorrar dinero ... ji ...
",en,"Wah lucky man... Then can save money... Hee...
"
71,0,"Finished class where are you.
",0,"Clase terminada ¿Dónde estás?
",en,"Finished class where are you.
"
72,0,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
",0,"Hola nena, estoy en casa ahora, ¿quieres hacer algo? Xx
",en,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
"
73,0,"K..k:)where are you?how did you performed?
",0,"K..K :) ¿Dónde estás? ¿Cómo te desempeñaste?
",en,"K..k:)where are you?how did you performed?
"
74,0,"U can call me now...
",0,"Puedes llamarme ahora ...
",en,"U can call me now...
"
75,0,"I am waiting machan. Call me once you free.
",0,"Estoy esperando a Machan. Llámame una vez que te liberes.
",en,"I am waiting machan. Call me once you free.
"
76,0,"Thats cool. i am a gentleman and will treat you with dignity and respect.
",0,"Eso es genial. Soy un caballero y te trataré con dignidad y respeto.
",en,"Thats cool. i am a gentleman and will treat you with dignity and respect.
"
77,0,"I like you peoples very much:) but am very shy pa.
",0,"Me gustan mucho los pueblos :) pero soy muy tímida.
",en,"I like you peoples very much:) but am very shy pa.
"
78,0,"Does not operate after  &lt;#&gt;  or what
",0,"No funciona después de & lt;#& gt; o que
",en,"Does not operate after  &lt;#&gt;  or what
"
79,0,"Its not the same here. Still looking for a job. How much do Ta's earn there.
",0,"No es lo mismo aquí. Todavía buscando trabajo. ¿Cuánto gana TA allí?
",en,"Its not the same here. Still looking for a job. How much do Ta's earn there.
"
80,0,"Sorry, I'll call later
",0,"Lo siento, llamaré más tarde
",en,"Sorry, I'll call later
"
81,0,"K. Did you call me just now ah? 
",0,"K. ¿Me llamaste justo ahora ah?
",en,"K. Did you call me just now ah? 
"
82,0,"Ok i am on the way to home hi hi
",0,"Ok, estoy de camino a casa hola hola
",en,"Ok i am on the way to home hi hi
"
83,0,"You will be in the place of that man
",0,"Estarás en el lugar de ese hombre
",en,"You will be in the place of that man
"
84,0,"Yup next stop.
",0,"Sí, la siguiente parada.
",en,"Yup next stop.
"
85,0,"I call you later, don't have network. If urgnt, sms me.
",0,"Te llamo más tarde, no tengo red. Si urgnt, sms me.
",en,"I call you later, don't have network. If urgnt, sms me.
"
86,0,"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
",0,"¿De verdad cuando te subes a ti? Solo necesito 2 boletos más y una chaqueta más y he terminado. Ya usé todos mis múltiples.
",en,"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
"
87,0,"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
",0,"Sí, comencé a enviar solicitudes para hacerlo, pero el dolor regresó, así que estoy de vuelta en la cama. Monedas dobles en la fábrica también. Tengo que cobrar todos mis nitros.
",en,"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
"
88,0,"I'm really not up to it still tonight babe
",0,"Realmente no estoy preparado para eso esta noche nena
",en,"I'm really not up to it still tonight babe
"
89,0,"Ela kano.,il download, come wen ur free..
",0,"Ela Kano., La descarga, como Wen Ur Free ..
",it,"Ela kano.,il download, come wen ur free..
"
90,0,"Yeah do! Don‘t stand to close tho- you‘ll catch something!
",0,"¡Sí, hazlo! ¡No se pare para cerrar aunque atraparás algo!
",en,"Yeah do! Don‘t stand to close tho- you‘ll catch something!
"
91,0,"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
",0,"Perdon por ser un dolor. ¿Está bien si conocemos otra noche? Pasé tarde en la tarde en víctima y eso significa que no he hecho ninguna de las cosas 42MORO y eso incluye todas mis hojas de tiempo y eso. Lo siento.
",en,"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
"
92,0,"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
",0,"Sonríe en placer Sonríe en el dolor Sonríe cuando los problemas se vierten como la lluvia sonríe cuando Sum1 duele la sonrisa porque ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
",en,"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
"
93,1,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
",0,"¡Llame a nuestro representante de servicio al cliente al 0800 169 6031 entre las 10 a.m. y las 9 p.m., ya que ha ganado un premio garantizado de £ 1000 en efectivo o £ 5000!
",en,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
"
94,0,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
",0,"No ha planeado comprar más tarde. Verifique que Lido solo haya recibido 530 show en la tarde. ¿Ya terminas el trabajo?
",en,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
"
95,1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
",0,"Su tono de llamada gratis está esperando ser recolectado. Simplemente envíe un mensaje de texto con la contraseña ""mezclar"" al 85069 para verificar. Obtenga Usher y Britney. FML, PO Box 5249, MK17 92H. 450ppw 16
",en,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
"
96,0,"Watching telugu movie..wat abt u?
",0,"Viendo la película Telugu ...
",en,"Watching telugu movie..wat abt u?
"
97,0,"i see. When we finish we have loads of loans to pay
",0,"veo. Cuando terminamos tenemos muchos préstamos para pagar
",en,"i see. When we finish we have loads of loans to pay
"
98,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
",0,"Hola. WK ha estado bien, ¡en Hols ahora! Sí, por un poco de carrera. Olvidé que tengo una cita de peluquería a las cuatro, así que necesito llegar a casa y ducharse de antemano. ¿Eso causa que te produzca? ""
",en,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
"
99,0,"I see a cup of coffee animation
",0,"Veo una taza de animación de café
",en,"I see a cup of coffee animation
"
100,0,"Please don't text me anymore. I have nothing else to say.
",0,"Por favor, no me envíes un mensaje de texto. No tengo nada más que decir.
",en,"Please don't text me anymore. I have nothing else to say.
"
101,0,"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
",0,"¡Bien, nombre tu precio siempre que sea legal! ¿Qué puedo recogerlos? Y u ave x ams xx
",en,"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
"
102,0,"I'm still looking for a car to buy. And have not gone 4the driving test yet.
",0,"Todavía estoy buscando un coche para comprar. Y aún no he pasado 4La prueba de manejo.
",en,"I'm still looking for a car to buy. And have not gone 4the driving test yet.
"
